0,serve such unlicensed alehouses with beer that they surcease and leave common selling of ale or beer only within the now house common selling of ale or beer within the said house shall common selling of ale or beer in that behalf provided whereof have sold any ale or beer with licence or without at shall commonly sell ale or beer within their jurisdiction other then commonly to sell ale or beer contrary to the statute in 
0,still he will call for beer with a full courageous note kind is etter then english beer a while we love good 
0,great dearth of bread wine beer and other necessaries for many ordinary allowance of bread caused beer out of the public storehouse health the archducessespinols ginethcommaund that beer thould be daily distributed to long siege commanded that no beer should be brewed of a least by brewing secretly stronger beer then ordinary they might too 
0,hogsheads filled with wine and beer with such like things thy 
0,not draw any wine or beer for any one in the and that the right of beer may bee given with a which shall come arrive with beer in the army in conformity stuyvers for every tonne of beer to the provost marshal general stuyvers for every tonne of beer which they shall carry back provost marshal general for the beer which shall be spent in doe meddle with tapping of beer wine or burndwine selling of to meddle with tapping of beer wine or burndwine selling of 
0,a cup of ale or beer and let it stand all thereof either in ale or beer and it shall ease the the grounds of ale or beer and wheate-branne and chicke-weede and them clean in ale or beer then cut them and take a spoonful with ale or beer but ale is best take or with ale wine or beer and by putting a pretty 
0,and the women weak a beer they had none and help 
0,the pitcher no ale or beer for him was dear to 
0,much harm hath hee done beer since he lived among vs 
0,of extraordinary strong ale and beer of fifteen shillings and sixteen drink in their houses neither beer nor ale nor utter nor nor sell any ale or beer at other rates then is of the best ale or beer for a penny and a full quart of the smaller beer for a half penny and trade either of ale or beer that they nor any of do brew any ale or beer at any other rates or 
0,of the city of london beer and ale for his highness money for their ale and beer so taken or at least taking of their ale and beer as aforesaid whereupon warrants were 
0,mess for men cans of beer of roterdams measure every day 
0,by with theirs upon the beer which fro the church meet 
0.0297029702970297,you both with long life beer on earth and eternal in 
0,calling for a pot of beer rowland brought him up a held six penny worth of beer whereof the gentleman drinking but to have a pot of beer but the tipster replying that had made drunk both with beer sack yet the boy felt unto his house sent for beer home to his own tipster 
0,hollanders here did taste our beer while they could drink no 
0.020408163265306124,alsehouse keeper sell ale or beer aboue a penny the ale 
0,not permit or suffer any beer or ale to bee received full ale-quart of eight shillings beer or ale sold for a like measure of four shillings beer or ale for a half 
0,drink no more flinging the beer away cause it ran low spil't for that is noble beer that runs at tilt of isle boss it all in beer sir if a bung be isle boss it all in beer sir finis 
0,lord that breathes enters not beer without express command from my 
0,like a horse to draw beer then to wear rich trappings 
0,and utterance of wine besides beer and ale and ipocrasse fine and utterance of wine besides beer and ale and ipocrasse fine 
0,the which operations our bread beer wine the ordinary and most meat and from ale or beer and from boiling new wine the which operations our bread beer wine the ordinary and most meat and from ale or beer and from boiling new wine 
0,is turn' into ale or beer whether any such saline or is turn' into ale or beer whether any such saline or 
0,and we will fetch some beer and be merry faith saith and we will fetch some beer and be merry faith saith 
0,but tic not you that beer complain alone or to your mourners and his legs the beer torleton as one select to care my bed become my beer since now misfortune humbles vs care my bed become my beer since now misfortune humbles vs and sisters waiting on our beer mourners to tell what we and sisters waiting on our beer mourners to tell what we 
0,swore drunk tobacco and dutch beer and after they had fallen 
0.015151515151515154,of good stale ale or beer which is neither sour nor of good stale ale or beer which is neither sour nor 
0,for all comers where beef beer and bread was no niggard do washed his feet with beer and soaked them in butter goes for a jack of beer brings it and sets it had wit to smell good beer got down into the seller 
0,a cup of wine or beer and that he will show a cup of wine or beer and that he will show a cup of wine or beer and that he will show 
0,good fellows sweet punk beere-house beer good night the honest roague's good fellows sweet punk beere-house beer good night the honest roague's 
0,their poetical thirst with small beer or if they will needs try the strength of english beer his old rendezvous of mad-men brought back as upon a beer to the city but see tools upon which the strong beer having set an egde they 
0,the table and because the beer then a broach is on the table and because the beer then a broach is on 
0,he drank up all the beer in the buttery before he 
0,swear drunk tobacco and dutch beer and after they had fallen 
0.008771929824561403,with a cup of single beer and sliest manchet and tells one much wrought with good beer and rhetoric he is a with a cup of single beer and sliest manchet and tells one much wrought with good beer and rhetoric he is a 
0.009615384615384616,mourners and his legs the beer his fair red cheeks clad 
0,every mans seller lies his beer and the best men's purses 
0,at a can of double beer but hodge and i have teach vs to laugh this beer came hopping in well wife me a dozen cannes of beer for my journeymen firk a them a dozen cans of beer for my journeymen hear you spend these two angels in beer at stratford bow eire to let wine be plentiful as beer and beer as water hang be plentiful as beer and beer as water hang these penny 
0,great rinkers not only of beer and ale but also of great rinkers not only of beer and ale but also of 
0,cup of of wine or beer and that hee will show 
0,and brought him to his beer she left her mourning weed 
0.009708737864077669,but call vs to our beer they be not triumphs which 
0,and brew them with ten-shilling beer to the quantity of four be after mingled with the beer being new tapped or otherwise infuse it in the new beer in a bag use this draught of white wine and beer mingled together for the space macerations in pickles agitation of beer by ropes or in wheel-barrows and brew them with ten-shilling beer to the quantity of four be after mingled with the beer being new tapped or otherwise infuse it in the new beer in a bag use this and brew them with ten-shilling beer to the quantity of four be after mingled with the beer being new tapped or otherwise infuse it in the new beer in a bag use this draught of white wine and beer mingled together for the space macerations in pickles agitation of beer by ropes or in wheel-barrows 
0,and brought him to his beer she left her mourning weed and brought him to his beer she left her mourning weed 
0.010638297872340425,theaters controuersall conferences about richest beer neatest wine or strongest tobacho 
0,of drink nearly like our beer i would with the french of drink nearly like our beer i would with the french taught the britons to make beer in steed of wine do's taught the britons to make beer in steed of wine do's english ale or stronger english beer the oat the bean and 
0,tap-house by drawing of strong beer entertainment of strangers or otherwise flower with the brewer for beer and empty cask in harbour not have or recall any beer in the said tap-house aboue they sell of the said beer less then three full pints persons whatsoever viz six shillings beer bread peas and milk porrage more then two pence in beer to one man every day the beef pork biscuit wine beer cider cordage powder or any tap-house by drawing of strong beer entertainment of strangers or otherwise tap-house by drawing of strong beer entertainment of strangers or otherwise flower with the brewer for beer and empty cask in harbour flower with the brewer for beer and empty cask in harbour not have or recall any beer in the said tap-house aboue they sell of the said beer less then three full pints persons whatsoever viz six shillings beer bread peas and milk porrage more then two pence in beer to one man every day not have or recall any beer in the said tap-house aboue they sell of the said beer less then three full pints persons whatsoever viz six shillings beer bread peas and milk porrage more then two pence in beer to one man every day the beef pork biscuit wine beer cider cordage powder or any the beef pork biscuit wine beer cider cordage powder or any 
0,brewer eke for ale and beer a baker for to bake wedding was as plentiful as beer or ale for the merchants brewer eke for ale and beer a baker for to bake wedding was as plentiful as beer or ale for the merchants 
0.006756756756756757,of good stale ale or beer which is neither sour nor of good stale ale or beer which is neither sour nor of good stale ale or beer which is neither sour nor 
0,our bread wine ale and beer for the piping hot meates 
0,not so sir they drink beer which is a drink made not so sir they drink beer which is a drink made cup bring me a little beer in this simian viol the refresh the body of what beer then of the smallest that cup bring me a little beer in this simian viol the refresh the body of what beer then of the smallest that cup bring me a little beer in this simian viol the refresh the body of what beer then of the smallest that 
0,as much divine virtue in beer ale or water as in 
0,from out despair my vran' beer begins to put on better a bowl or twain of beer but hoe's a knave they 
